filepath,line_no,symbol,preview
/Users/hiraku/projects/vpm-ariade/archive/tests/test_ui_improvements.py,61,test_question_visualization,質問視覚化のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_ui_improvements.py,100,test_interactive_components,インタラクティブコンポーネントのテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_ui_improvements.py,143,test_status_indicators,ステータス表示のテスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_ui_improvements.py,170,test_ui_performance,UI パフォーマンステスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_ui_improvements.py,205,test_compatibility,互換性テスト
/Users/hiraku/projects/vpm-ariade/archive/tests/test_ui_improvements.py,234,main,メインテスト実行
/Users/hiraku/projects/vpm-ariade/archive/tools/pycg/micro-benchmark-key-errs/create_pytests.py,8,base_template, import os  from base import TestBase  c...
/Users/hiraku/projects/vpm-ariade/archive/tools/pycg/micro-benchmark-key-errs/create_pytests.py,17,test_template,     def test_{name}(self):         self...
/Users/hiraku/projects/vpm-ariade/archive/tools/pycg/micro-benchmark/create_pytests.py,8,base_template, import os  from base import TestBase  c...
/Users/hiraku/projects/vpm-ariade/archive/tools/pycg/micro-benchmark/create_pytests.py,17,test_template,     def test_{name}(self):         self...
/Users/hiraku/projects/vpm-ariade/archive/tools/pycg/pycg/machinery/imports.py,31,get_custom_loader,     Closure which returns a custom load...
/Users/hiraku/projects/vpm-ariade/archive/tools/pycg/pycg/machinery/scopes.py,27,ScopeManager,Manages the scope entries
/Users/hiraku/projects/vpm-ariade/archive/tools/pycg/pycg/processing/preprocessor.py,140,PreProcessor.visit_Import,         For imports of the form        ...
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,2,module, Resilient Cleanup Manager for VPM-Ariad...
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,34,CleanupManager._load_state,Load cleanup state from JSON file
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,46,CleanupManager._save_state,Save current state to JSON file
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,51,CleanupManager._run_command,Run shell command and return result
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,72,CleanupManager._verify_stage,Verify that a stage completed successful...
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,89,CleanupManager._create_backup,Create complete backup before starting
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,106,CleanupManager._create_archive_structure,Create archive directory structure
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,124,CleanupManager.execute_stage,Execute a specific cleanup stage
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,176,CleanupManager._execute_stage_logic,Execute the actual logic for each stage
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,272,CleanupManager.start_cleanup,Start a new cleanup process
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,300,CleanupManager.resume_cleanup,Resume an interrupted cleanup process
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,330,CleanupManager.show_status,Show current cleanup status
/Users/hiraku/projects/vpm-ariade/cleanup_manager.py,351,CleanupManager.rollback,Rollback to the state before cleanup sta...
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,2,module, AI Context Manager - 高度なAIコンテキスト管理システム ...
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,24,ConversationContext,会話コンテキストデータクラス
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,42,ContextWindow,AIへ送信するコンテキストウィンドウ
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,50,AIContextManager,高度なAIコンテキスト管理システム
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,53,AIContextManager.__init__,         Initialize AI Context Manager  ...
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,80,AIContextManager.generate_conversation_id,会話IDを生成
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,85,AIContextManager.estimate_token_count,テキストのトークン数を概算
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,90,AIContextManager.add_conversation,新しい会話をコンテキストに追加
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,115,AIContextManager._generate_conversation_summary,会話の要約を生成
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,167,AIContextManager._extract_key_points,要約からキーポイントを抽出
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,182,AIContextManager.calculate_relevance_score,コンテキストの関連性スコアを計算
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,215,AIContextManager.build_context_window,現在の状況に最適化されたコンテキストウィンドウを構築
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,270,AIContextManager.get_conversation_stats,コンテキスト管理の統計情報
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,289,AIContextManager.cleanup_old_contexts,古いコンテキストをクリーンアップ
/Users/hiraku/projects/vpm-ariade/core/ai_context_manager.py,309,create_context_manager,AIContextManagerのファクトリ関数
/Users/hiraku/projects/vpm-ariade/core/ai_intent_detector.py,2,module, AI Intent Detector - AI-based user inte...
/Users/hiraku/projects/vpm-ariade/core/ai_intent_detector.py,24,AIIntentDetector,AI based intent detection system
/Users/hiraku/projects/vpm-ariade/core/ai_intent_detector.py,27,AIIntentDetector.__init__,         Initialize the AI Intent Detect...
/Users/hiraku/projects/vpm-ariade/core/ai_intent_detector.py,48,AIIntentDetector.detect_project_creation_intent,         プロジェクト作成意図の検出                  ...
/Users/hiraku/projects/vpm-ariade/core/ai_intent_detector.py,152,AIIntentDetector.detect_task_addition_intent,         タスク追加意図の検出                  Arg...
/Users/hiraku/projects/vpm-ariade/core/ai_intent_detector.py,264,AIIntentDetector.detect_task_removal_intent,         タスク削除意図の検出                  Arg...
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,2,module, AI Project Manager - 真のAI的バーチャルプロジェクトマネ...
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,33,ActionPlan,AIが生成するアクションプラン
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,45,AIProjectManager,統一されたAI判断によるプロジェクトマネージャー
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,48,AIProjectManager.__init__,         Initialize AI Project Manager  ...
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,78,AIProjectManager.process_user_input,         ユーザー入力を総合的に分析してアクションプランを生成     ...
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,189,AIProjectManager._get_ai_pm_system_prompt,AI Project Managerのシステムプロンプト
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,318,AIProjectManager._build_unified_prompt,統一判断用のプロンプトを構築
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,356,AIProjectManager._summarize_project_context,プロジェクト状況を要約（詳細情報含む・質問内容に適応）
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,433,AIProjectManager._identify_relevant_fields,質問内容から関連するフィールドを特定
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,469,AIProjectManager._summarize_conversation_history,会話履歴を要約（制限なし）
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,493,AIProjectManager._get_user_patterns,ユーザーの行動パターンを分析（将来実装）
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,498,AIProjectManager._parse_ai_response,AI応答をActionPlanに変換
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,544,AIProjectManager._record_interaction,インタラクションを学習データとして記録
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,562,AIProjectManager.get_learning_insights,学習した洞察を取得
/Users/hiraku/projects/vpm-ariade/core/ai_project_manager.py,585,create_ai_project_manager,AI Project Managerのファクトリ関数
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,2,module, AI Quality Manager - AI品質管理とエラーハンドリングシス...
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,24,ResponseQuality,応答品質レベル
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,32,ErrorType,エラータイプ
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,42,AIResponse,AI応答データクラス
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,58,QualityMetrics,品質メトリクス
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,68,AIQualityManager,AI品質管理システム
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,71,AIQualityManager.__init__,         Initialize AI Quality Manager  ...
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,99,AIQualityManager.generate_request_id,リクエストIDを生成
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,109,AIQualityManager.make_request_with_quality_check,         品質チェック付きAIリクエスト実行              ...
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,204,AIQualityManager._create_error_response,エラー応答を作成
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,219,AIQualityManager._evaluate_response_quality,応答品質を評価
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,256,AIQualityManager._appears_to_be_json_response,JSON応答かどうかを判定
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,261,AIQualityManager._is_valid_json,有効なJSONかどうかを確認
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,269,AIQualityManager._update_metrics,メトリクスを更新
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,300,AIQualityManager.get_quality_report,品質レポートを取得
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,329,AIQualityManager.get_recommendations,改善推奨事項を取得
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,350,AIQualityManager.cleanup_old_responses,古い応答データをクリーンアップ
/Users/hiraku/projects/vpm-ariade/core/ai_quality_manager.py,365,create_quality_manager,AIQualityManagerのファクトリ関数
/Users/hiraku/projects/vpm-ariade/core/append_to_log.py,13,append_to_log,     指定されたログファイルにメッセージを追加する関数。      Args...
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,2,module, AutoUpdateEngine - プロジェクトデータ自動更新エンジン 
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,23,UpdateCandidate,自動更新候補
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,34,AutoUpdateResult,自動更新結果
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,43,AutoUpdateEngine,プロジェクトデータ自動更新エンジン
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,97,AutoUpdateEngine.process_conversation,会話を処理してプロジェクトデータを自動更新
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,156,AutoUpdateEngine._extract_update_candidates,会話から更新候補を抽出
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,182,AutoUpdateEngine._create_update_candidate,正規表現マッチから更新候補を作成
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,260,AutoUpdateEngine._extract_task_updates,タスク関連の更新を抽出
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,300,AutoUpdateEngine._extract_milestone_updates,マイルストーン関連の更新を抽出
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,330,AutoUpdateEngine._apply_update_candidate,更新候補を実際に適用
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,352,AutoUpdateEngine._apply_task_completion,タスク完了の適用
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,385,AutoUpdateEngine._apply_new_task,新規タスクの追加
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,401,AutoUpdateEngine._apply_task_status_update,タスクステータス更新の適用
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,406,AutoUpdateEngine._apply_milestone_achievement,マイルストーン達成の記録
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,421,AutoUpdateEngine._check_and_advance_phase,フェーズ進行チェックと自動進行
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,433,AutoUpdateEngine._generate_notifications,通知を生成
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,455,AutoUpdateEngine.get_pending_updates,保留中の更新候補を取得
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,461,AutoUpdateEngine.approve_pending_update,保留中の更新を承認
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,466,AutoUpdateEngine.reject_pending_update,保留中の更新を拒否
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,471,AutoUpdateEngine._fuzzy_match,柔軟なマッチング（日本語対応）
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,481,AutoUpdateEngine._extract_keywords,テキストからキーワードを抽出
/Users/hiraku/projects/vpm-ariade/core/auto_update_engine.py,506,AutoUpdateEngine._is_valid_task_description,タスク説明の有効性を検証
/Users/hiraku/projects/vpm-ariade/core/capabilities_diff.py,8,load_ast_capabilities,     AST解析により、@kai_capability付き関数を含む関数一覧...
/Users/hiraku/projects/vpm-ariade/core/capabilities_diff.py,14,load_json_capabilities,     kai_capabilities.jsonを読み込んで返す。     
/Users/hiraku/projects/vpm-ariade/core/capabilities_diff.py,21,compare_capabilities,     AST結果とJSON定義を比較し、差分（未登録・不一致）を返す。   ...
/Users/hiraku/projects/vpm-ariade/core/capabilities_diff.py,61,format_diff_for_output,     差分結果をMarkdown形式で整形し、出力用にする。     
/Users/hiraku/projects/vpm-ariade/core/capabilities_registry.py,4,kai_capability,     Kai の能力情報を関数に付与するためのデコレータ。     本来の関...
/Users/hiraku/projects/vpm-ariade/core/capabilities_suggester.py,15,generate_suggestions,     差分結果をもとに、日本語で修正提案文を生成する。      Args:...
/Users/hiraku/projects/vpm-ariade/core/capabilities_suggester.py,53,generate_updated_capabilities,     AST結果と既存JSONを突き合わせて、仮の新しいcapabiliti...
/Users/hiraku/projects/vpm-ariade/core/capability_proposal.py,8,generate_capability_patch,     指定されたcap_idと仕様説明をもとに、Kaiのcapabiliti...
/Users/hiraku/projects/vpm-ariade/core/chat_handler.py,2,module, Chat Handler - チャット処理モジュール app.pyからチャット...
/Users/hiraku/projects/vpm-ariade/core/chat_handler.py,35,get_openai_api_key,OpenAI API キーの取得
/Users/hiraku/projects/vpm-ariade/core/chat_handler.py,57,_today_log_path,Return Path for today's conversation log...
/Users/hiraku/projects/vpm-ariade/core/chat_handler.py,64,_append_log,Append a single message to today's JSON ...
/Users/hiraku/projects/vpm-ariade/core/chat_handler.py,77,_project_log_path,Return Path for today's project-specific...
/Users/hiraku/projects/vpm-ariade/core/chat_handler.py,84,_append_project_log,Append a single message to today's proje...
/Users/hiraku/projects/vpm-ariade/core/chat_handler.py,101,process_chat_input,     チャット入力の処理（app.pyから分離）          Args...
/Users/hiraku/projects/vpm-ariade/core/chat_handler.py,471,process_ai_conversation,高度AI機能統合版の会話処理
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,2,module, AI-First Chat Handler - 真のAI的チャット処理モジュー...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,32,get_openai_api_key,OpenAI API キーの取得
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,54,_today_log_path,Return Path for today's conversation log...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,61,_append_log,Append a single message to today's JSON ...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,74,_project_log_path,Return Path for today's project-specific...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,81,_append_project_log,Append a single message to today's proje...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,98,_load_project_conversation_history,     Load recent conversation history fo...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,170,process_chat_input_ai,     AI-First チャット入力処理     統一されたAI判断による自...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,316,execute_action_plan,     AIが生成したアクションプランを実行          Args:  ...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,365,_execute_task_creation,タスク作成の実行
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,406,_execute_task_removal,タスク削除の実行
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,446,_execute_status_update,     ステータス更新の実行 (DEPRECATED)          ⚠️...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,475,_execute_information_request,情報リクエストの実行
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,493,_execute_project_creation,プロジェクト作成の実行
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,566,_execute_project_update,     Generic Project Update Handler - Im...
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,673,_finalize_conversation,会話の最終処理
/Users/hiraku/projects/vpm-ariade/core/chat_handler_ai.py,693,git_operations,Git操作を別スレッドで実行（同期化・競合回避付き）
/Users/hiraku/projects/vpm-ariade/core/code_analysis.py,4,extract_functions,Pythonファイルから関数定義を抽出する
/Users/hiraku/projects/vpm-ariade/core/code_analysis.py,22,extract_classes,クラスとそのメソッド一覧を抽出
/Users/hiraku/projects/vpm-ariade/core/code_analysis.py,46,extract_variables,トップレベルの定数や変数を抽出（文字列・数値・リストなど）
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,2,module, Conversation Analyzer - 会話内容の構造化分析 会話から...
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,21,ExtractedInformation,抽出された情報
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,34,InformationConflict,情報の矛盾
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,44,ConversationAnalyzer,会話内容の分析
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,47,ConversationAnalyzer.__init__,         初期化                  Args:     ...
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,80,ConversationAnalyzer.extract_information_from_conversation,         会話から構造化情報を抽出                  A...
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,123,ConversationAnalyzer._extract_with_ai,AI による情報抽出
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,168,ConversationAnalyzer._build_extraction_prompt,情報抽出用システムプロンプトを構築
/Users/hiraku/projects/vpm-ariade/core/conversation_analyzer.py,235,ConversationAnalyzer._format_conversation,会話を読みやすい形式に整形
