filepath,line_no,symbol,preview
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,26,PromptBuilder.__init__,PromptBuilderを初期化
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,31,PromptBuilder._load_prompt_rules,docs/prompt_rules.mdからルールを読み込み
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,50,PromptBuilder.estimate_tokens,テキストのトークン数を概算
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,55,PromptBuilder.truncate_conversation_summary,会話履歴を指定トークン数以内に切り詰め
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,81,PromptBuilder.build_system_prompt,システムプロンプトを構築
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,82,base_prompt,あなたは経験豊富なバーチャルプロジェクトマネージャーです。 ユーザーとの自然な対...
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,117,PromptBuilder.build_unified_prompt,統一プロンプトを構築（トークン制限付き）
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,152,PromptBuilder._summarize_project_context,プロジェクト状況を要約（詳細情報含む・質問内容に適応）
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,229,PromptBuilder._identify_relevant_fields,質問内容から関連するフィールドを特定
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,265,PromptBuilder._summarize_conversation_history,会話履歴を要約（制限なし）
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,281,PromptBuilder.safe_json_response,安全なJSON文字列を生成（エスケープ重複を防ぐ）
/Users/hiraku/projects/vpm-ariade/core/prompt_builder.py,299,create_prompt_builder,PromptBuilderのファクトリ関数
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,21,PromptLogger,Manages logging of LLM API calls with AI...
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,28,PromptLogger.__init__,Initialize the prompt logger
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,34,PromptLogger._ensure_log_directory,Ensure the log directory exists
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,47,PromptLogger._get_current_log_file,Get the current log file path with 5MB r...
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,57,PromptLogger._should_rotate_log_file,Check if log file should be rotated base...
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,73,PromptLogger._generate_log_file_path,Generate log file path with YYYYMMDD_HH ...
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,95,PromptLogger._is_duplicate_log,Check if log entry is duplicate using ha...
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,140,PromptLogger._log_dedup_skip,Log deduplication skip to separate file
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,161,PromptLogger._validate_token_metrics,Validate token metrics and detect anomal...
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,178,PromptLogger._log_metrics_anomaly,Log token metrics anomaly
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,201,PromptLogger._validate_and_fallback_kind,Validate kind enum and fallback to 'unkn...
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,224,PromptLogger.log_call,         Context manager for logging LLM...
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,264,PromptLogger.log_request,Capture request data
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,272,PromptLogger.log_response,Capture response data and token counts
/Users/hiraku/projects/vpm-ariade/core/prompt_logger.py,278,PromptLogger.log_error,Capture error information
/Users/hiraku/projects/vpm-ariade/core/question_generator.py,281,AdaptiveQuestionGenerator._build_question_enhancement_prompt,質問改善用システムプロンプトを構築
/Users/hiraku/projects/vpm-ariade/core/simple_conversation_analyzer.py,178,SimpleConversationAnalyzer._build_update_prompt,プロジェクト情報更新用のシステムプロンプト
/Users/hiraku/projects/vpm-ariade/core/v2/persona_core.py,288,get_persona_prompt,     Get persona system prompt with back...
/Users/hiraku/projects/vpm-ariade/core/v2/persona_core.py,297,base_prompt,You are an expert AI project manager per...
/Users/hiraku/projects/vpm-ariade/libs/openai_helper.py,55,get_system_prompt,Get the system prompt for charter conver...
/Users/hiraku/projects/vpm-ariade/libs/openai_helper.py,214,get_system_prompt_with_background,Get the system prompt with optional back...
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,15,PromptExtractor,AST visitor to extract triple-quoted str...
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,24,PromptExtractor.visit_FunctionDef,Track current function context.
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,31,PromptExtractor.visit_AsyncFunctionDef,Track async function context.
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,38,PromptExtractor.visit_ClassDef,Track current class context.
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,45,PromptExtractor.visit_Assign,Extract variable assignments with triple...
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,71,PromptExtractor.visit_Expr,Extract standalone triple-quoted strings...
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,97,PromptExtractor._is_triple_quoted,Check if a string is triple-quoted by ex...
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,106,PromptExtractor._get_current_context,Get the current context (function/class ...
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,118,extract_prompts_from_file,Extract all triple-quoted strings from a...
/Users/hiraku/projects/vpm-ariade/scripts/extract_prompts.py,152,extract_prompts_with_regex,Fallback regex-based extraction for edge...
/Users/hiraku/projects/vpm-ariade/tests/test_ai_first_system.py,49,TestAIFirstSystem.test_prompt_building,統一プロンプト構築のテスト
/Users/hiraku/projects/vpm-ariade/tests/test_conversation_engine.py,154,TestPhaseAwareConversationEngine.test_system_prompt_generation,システムプロンプトの生成
/Users/hiraku/projects/vpm-ariade/tests/test_conversation_engine.py,167,TestPhaseAwareConversationEngine.test_project_context_in_system_prompt,システムプロンプトにプロジェクトコンテキストが含まれる
/Users/hiraku/projects/vpm-ariade/tests/test_convo_mode.py,21,TestOpenAIHelper.test_system_prompt_contains_charter_complete,Test that system prompt contains <charte...
/Users/hiraku/projects/vpm-ariade/tests/test_persist_background.py,33,TestBackgroundPersistence.test_persona_prompt_with_background,Test persona prompt includes background ...
/Users/hiraku/projects/vpm-ariade/tests/test_persist_background.py,54,TestBackgroundPersistence.test_persona_prompt_without_background,Test persona prompt when no background i...
/Users/hiraku/projects/vpm-ariade/tests/test_persist_background.py,73,TestBackgroundPersistence.test_persona_prompt_invalid_file,Test persona prompt with invalid file pa...
/Users/hiraku/projects/vpm-ariade/tests/test_persist_background.py,82,TestBackgroundPersistence.test_system_prompt_with_background,Test system prompt with background injec...
/Users/hiraku/projects/vpm-ariade/tests/test_persist_background.py,93,TestBackgroundPersistence.test_system_prompt_without_background,Test system prompt without background
/Users/hiraku/projects/vpm-ariade/tests/test_project_context.py,71,TestProjectContext.test_get_project_prompt_structure,Test that get_project_prompt returns pro...
/Users/hiraku/projects/vpm-ariade/tests/test_project_context.py,104,TestProjectContext.test_get_project_prompt_no_tasks,Test project prompt generation for proje...
/Users/hiraku/projects/vpm-ariade/tests/test_project_context.py,120,TestProjectContext.test_get_project_prompt_nonexistent_project,Test project prompt generation for nonex...
/Users/hiraku/projects/vpm-ariade/tests/test_project_context.py,127,TestProjectContext.test_get_project_prompt_with_additional_fields,Test project prompt includes additional ...
/Users/hiraku/projects/vpm-ariade/tests/test_project_context.py,225,TestProjectContext.test_project_prompt_task_limit,Test that project prompt shows only top ...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,12,TestPromptBuilderBudget,Test PromptBuilder token budget manageme...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,15,TestPromptBuilderBudget.test_max_prompt_tokens_constant,Test that MAX_PROMPT_TOKENS is properly ...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,19,TestPromptBuilderBudget.test_token_estimation_basic,Test basic token estimation functionalit...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,34,TestPromptBuilderBudget.test_conversation_truncation_under_limit,Test that conversation under token limit...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,47,TestPromptBuilderBudget.test_conversation_truncation_over_limit,Test that conversation over token limit ...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,68,TestPromptBuilderBudget.test_conversation_truncation_empty_input,Test conversation truncation with empty ...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,75,TestPromptBuilderBudget.test_conversation_truncation_single_line,Test conversation truncation with single...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,88,TestPromptBuilderBudget.test_unified_prompt_token_management_under_limit,Test unified prompt building when under ...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,108,TestPromptBuilderBudget.test_unified_prompt_token_management_over_limit,Test unified prompt building when over t...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,127,TestPromptBuilderBudget.test_token_budget_warning_threshold,Test that token budget warning is proper...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,135,TestPromptBuilderBudget.test_realistic_prompt_size_scenarios,Test with realistic prompt size scenario...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_budget.py,179,TestPromptBuilderBudget.test_token_estimation_edge_cases,Test token estimation with edge cases
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,14,TestPromptBuilder,Test PromptBuilder class
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,17,TestPromptBuilder.test_initialization,Test PromptBuilder initialization
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,23,TestPromptBuilder.test_factory_function,Test create_prompt_builder factory funct...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,28,TestPromptBuilder.test_estimate_tokens,Test token estimation
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,44,TestPromptBuilder.test_truncate_conversation_summary,Test conversation summary truncation
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,63,TestPromptBuilder.test_load_prompt_rules_success,Test successful loading of prompt rules
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,76,TestPromptBuilder.test_load_prompt_rules_file_not_found,Test handling of missing prompt rules fi...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,86,TestPromptBuilder.test_build_system_prompt,Test system prompt building
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,98,TestPromptBuilder.test_build_unified_prompt,Test unified prompt building
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,124,TestPromptBuilder.test_build_unified_prompt_token_limit,Test prompt building with token limit en...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,150,TestPromptBuilder.test_safe_json_response_valid,Test safe JSON response generation with ...
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,193,TestPromptBuilder.test_summarize_project_context,Test project context summarization
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_builder_json.py,221,TestPromptBuilder.test_summarize_conversation_history,Test conversation history summarization
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_logger.py,17,TestPromptLogger,Test PromptLogger class
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_logger.py,20,TestPromptLogger.test_ensure_log_directory,Test that log directory is created
/Users/hiraku/projects/vpm-ariade/tests/test_prompt_logger.py,32,TestPromptLogger.test_get_current_log_file,Test log file path generation
